# CYCLES.tsv — mapa cykli research/ (generowane: tooling/build_cycles_index.py)
# wygenerowano: 2026-09-14 | cykli: 265
# status: wip=w ruchu | locked=LOCK bez realizacji | paused=zamrozony | parking=pomysl | closed=zamkniety | legacy=generacja sprzed 2026-05
# realny WIP jest w STATE.md §Active WIP — to jest indeks, nie zrodlo prawdy o priorytetach
slug	status	data	faza	werdykt	tytul
op-R2-audit-3-6-extension-2-2026-05-24	paused		FINAL		op-R2-audit-3-6-extension-2-2026-05-24 — R2 audit dla 3 R1 flag CANDIDATES z γ-3 cycle
op-R2-audit-3-6-extension-2026-05-23	paused		FINAL		op-R2-audit-3-6-extension-2026-05-23 — R2 audit cycle dla CALIBRATION §3.6 BINDING extension
op-R2-integration-audit-CE-H-FFS-2026-05-22	paused		FINAL		op-R2-integration-audit-CE-H-FFS-2026-05-22 — R2 integration audit cycle (FFS+CE-H aggregated items)
op-native-pressure-lepton-stability-2026-07-27	paused		po retrospektywie 2026-08-16; rachunek …	OPEN 2026-08-16 — cykl wieloetapowy z serią twardych audytów. OBALONE: N4d 'native pressure' w izol…	op-native-pressure-lepton-stability — od ciśnienia Goldstone'a (N4d) przez łańcuch substrat→wstążki→kwarki po…
op-uv-renormalizability-research	paused	2026-04-28			OP-UV-RENORMALIZABILITY-RESEARCH — UV-complete renormalizability (research-track wieloletni)
op-uv3-phi0-renormalization	paused	2026-05-02	Phase 3	PASS — Z_Φ = 14/3 STRUCTURAL DERIVED	UV.3 — explicit Φ₀ wave-function renormalization Z_Φ = 14/3 (FULL CONVERGENCE 16/16)
audyt_cosmology_drift_2026-05-03	paused	2026-05-03			Audyt cosmology drift remediation 2026-05-03
op-CORE-CLEANUP-B-2026-05-04	paused	2026-05-04			CORE-CLEANUP-B — hybrydowe wyczyszczenie rdzenia (literal cleanup body + dodatek_pivot_history)
op-GWTC3-reanalysis	paused	2026-05-07	Phase 3		op-GWTC3-reanalysis — TGP M911-P1 Bayes factor analysis na public LIGO/Virgo GWTC-3 data
op-LIGO-3G-deviation	paused	2026-05-07	Phase 3		op-LIGO-3G-deviation — Fisher matrix forecasting M911-P1 dla ET-D + CE
op-Phi-decomposition-photon-2026-05-07	paused	2026-05-07	Phase 3	STRUCTURAL_EXTENSION_CANDIDATE	op-Phi-decomposition-photon — Stage 2: foton jako mod δΦ
op-ppE-mapping	paused	2026-05-07	Phase 3		op-ppE-mapping — Mapowanie M9.1'' (5/6) U³ deviation na ppE phase parameter
op-T34-normalization-amendment-2026-05-09	paused	2026-05-09	FINAL	AMENDMENT_CYCLE	op-T34-normalization-amendment-2026-05-09 — Audit + amendment of T3.4 ξ_eff normalization chain
op-mPhi-level0-verification-2026-05-09	paused	2026-05-09	Phase 1	VERIFICATION_CYCLE	op-mPhi-level0-verification-2026-05-09 — Verify m_Φ at level 0 dla mechanism (iii) realization
op-sigma-3PN-radiative-2026-05-09	paused	2026-05-09	Phase 3	ESCAPE_ROUTE_CYCLE	op-sigma-3PN-radiative-2026-05-09 — Route A escape: σ-coupling at 3PN+ as TT source
op-sigma-yukawa-audit-2026-05-09	paused	2026-05-09	Phase 1	ADVERSARIAL_AUDIT_CYCLE	op-sigma-yukawa-audit-2026-05-09 — Adversarial audit of σ-channel propagation at LIGO scales
op-mPhi-verification-fluid-analog-audit-2026-05-10	paused	2026-05-10		LIGHT_TOUCH_AUDIT (interpretive re-derivation, NIE re-do sympy)	op-mPhi-verification-fluid-analog-audit-2026-05-10 — re-interpret mPhi verdict z TGP-native fluid analog
op-Higgs-hierarchy-mechanism-2026-05-11	paused	2026-05-11	FINAL	SCAFFOLD — revolutionary scope cycle; rigorous derivation pending	op-Higgs-hierarchy-mechanism — strukturalna analiza Q2 F1 + S05 jako mechanism protecting m_H od Λ_UV² destab…
op-L01-N1-EM-trace-anomaly-TGP-2026-05-11	paused	2026-05-11	FINAL	STRUCTURAL_DERIVATION_CYCLE_QFT_LOOP	op-L01-N1-EM-trace-anomaly-TGP — Quantum trace anomaly EM (1-loop QED na g_eff[{Φ_i}]) i ρ_EM_quantum jako na…
op-L01-N2-QCD-trace-anomaly-cosmology-2026-05-11	paused	2026-05-11	FINAL	STRUCTURAL_DERIVATION_CYCLE_QCD_NONPERTURBATIVE_PLUS_COSMOLOGY	op-L01-N2-QCD-trace-anomaly-cosmology — non-perturbative ρ_QCD(T) jako transient source dla Φ-EOM w QCD epoce…
op-L01-N3-SPARC-rho-consistency-2026-05-11	paused	2026-05-11	FINAL	VERIFICATION_CYCLE_LOW_PRIORITY	op-L01-N3-SPARC-rho-consistency — verification że ρ_SPARC ≡ ρ_baryon ≡ -T^μ_μ_dust/c_0² w non-relativistic ga…
op-L01-N4-Higgs-trace-anomaly-2026-05-11	paused	2026-05-11	FINAL	STRUCTURAL_DERIVATION_CYCLE_HIGGS_LOOP	op-L01-N4-Higgs-trace-anomaly — 1-loop Higgs sektor trace anomaly w g_eff[{Φ_i}] + SSB cancellation framework…
op-cluster-mass-deficit-resolution-2026-05-11	paused	2026-05-11	FINAL	SCAFFOLD — cycle opened, derivation pending	op-cluster-mass-deficit-resolution — galactic cluster ~35% mass deficit at virial scale + sterile neutrino/TG…
op-WZ-emergence-quantitative-loop-2026-05-17	paused	2026-05-17	FINAL	FRAMEWORK_ATTEMPT + QUANTITATIVE_LOOP_ESTIMATE	op-WZ-emergence-quantitative-loop — W/Z emergence attempt + SM-like loop μ_ν estimate
op-housekeeping-sesja-2026-05-17-annotations	paused	2026-05-17	FINAL	HOUSEKEEPING (documentation-sync; nie research-cycle z derivation claim)	op-housekeeping-sesja-2026-05-17-annotations — INDEX sync + cross-cycle annotations + core/ .tex notes
op-neutrino-L_X-structural-derivation-attempt-2026-05-17	paused	2026-05-17	FINAL	STRUCTURAL_DERIVATION_ATTEMPT (post-L06 exhaustive)	op-neutrino-L_X-structural-derivation-attempt — Paths F/G/H attempt (post-L06 A-D failures)
op-neutrino-L_kink-bracketing-2026-05-17	paused	2026-05-17	FINAL	QUANTITATIVE-BRACKETING (NIE first-principles derivation) — range estimate	op-neutrino-L_kink-bracketing — L_kink range estimate + μ_ν^TGP quantitative bracketing
op-neutrino-RP2-wake-extension-2026-05-17	paused	2026-05-17	FINAL	DERIVATION-EXTENSION — R3 closure z β-task (relax spherical approximation)	op-neutrino-RP2-wake-extension — δθ wake under RP² Berry phase topology (R3 closure z β-task)
op-neutrino-mu-nu-astrophysical-discrimination-2026-05-17	paused	2026-05-17	FINAL	EMPIRICAL-DISCRIMINATION-SURVEY (NIE first-principles derivation) — comprehensive bound survey + jo…	op-neutrino-mu-nu-astrophysical-discrimination — survey wszystkich astrofizycznych bounds dla dyskryminacji μ…
op-neutrino-omega-motion-wake-2026-05-17	paused	2026-05-17	FINAL	DERIVATION — L08 audit problem	op-neutrino-omega-motion-wake — δθ wake derivation dla moving n=0 kink (neutrino) w polu A_μ
op-neutrino-red-giant-tension-analysis-2026-05-17	paused	2026-05-17	FINAL	TENSION-ANALYSIS (NIE first-principles derivation) — sensitivity + uncertainty propagation	op-neutrino-red-giant-tension-analysis — does TGP μ_ν prediction create real astrophysical tension?
op-MQ-flavor-interpolation-2026-05-18	paused	2026-05-18	scaffold	pending (zostanie ustalony post-Phase-FINAL per decision matrix)	op-MQ-flavor-interpolation-2026-05-18 — Test ścieżki ζ (M_Q granular + warstwa 3c flavor interpolation) jako …
op-audit-non-Abelian-gauge-status-2026-05-18	paused	2026-05-18	scaffold	pending	op-audit-non-Abelian-gauge-status-2026-05-18 — formal audit czy TGP minimal axioms wyderywowały SU(3)_c gauge…
op-composite-higgs-substrate-attempt-2026-05-18	paused	2026-05-18	FINAL	STRUCTURAL-DERIVATION-ATTEMPT (sesja-1-of-N multi-session campaign)	op-composite-higgs-substrate-attempt — sesja-1-of-N multi-session attempt na composite Higgs framework w TGP …
op-FFS-pre-screening-2026-05-19	paused	2026-05-19	scaffold	pending (zostanie ustalony post-Phase-FINAL per decision matrix)	op-FFS-pre-screening-2026-05-19 — Test ścieżki η (FFS fractional flux string quark object) jako Option B cand…
op-FFS-quark-object-2026-05-20	paused	2026-05-20	scaffold	pending (Phase FINAL classification post all phases)	op-FFS-quark-object-2026-05-20 — Full FFS cycle launch post pre-screening STRONG_GO; 6 honest caveats closure…
op-PSR-spin-substrate-channel-2026-06-13	paused	2026-06-13		STRUCTURAL_CONDITIONAL — spin does NOT change the orbital verdict	op-PSR-spin-substrate-channel-2026-06-13 (EXPLORATORY)
op-Phi-field-identity-resolution-2026-06-23	paused	2026-06-23	FINAL	REALIZABLE-NONCANONICAL — α=2 na gęstości realizowalne przez Z₂ bond K~ŝ^10 (rząd 6), nie-kanoniczn…	op-Phi-field-identity-resolution — substrate-realizability α=2 na gęstości (residual op-A3)
op-bond-order-RG-selection-2026-06-23	paused	2026-06-23	FINAL	RG-NOT-SELECTED — power-counting dyskryminuje rząd dający α=2 (s=5, najbardziej irrelevant); jedyny…	op-bond-order-RG-selection — czy RG-relevance selekcjonuje rząd bondu dający α=2? (następczy do
op-SPIN-MAG-leakage-lean-hypothesis-2026-05-07	parking	2026-05-07		SPECULATIVE_FRAMEWORK_FOR_FUTURE_FORMALIZATION	TGP-SPIN-MAG.0 working hypothesis — leakage magnetism + lean-direction + gluing-compatibility spin
op-tensor-modes-Phi-FUTURE	parking	2026-05-07		FUTURE_RESEARCH_CANDIDATE	op-tensor-modes-Phi-FUTURE — placeholder na future research
op-L01-N1-retrofit-native-EM-2026-05-13	parking	2026-05-13	FINAL	RETROFIT — D → A− target	op-L01-N1-retrofit-native-EM — first-principles derivation EM trace anomaly z TGP Φ-EOM (retrofit z D-downgra…
op-L01-N2-retrofit-native-QCD-2026-05-13	parking	2026-05-13	FINAL	RETROFIT — C → A− target	op-L01-N2-retrofit-native-QCD — first-principles QCD trace anomaly + cosmology epoch z TGP framework
op-L01-N3-retrofit-native-SPARC-2026-05-13	parking	2026-05-13	FINAL	RETROFIT — D → A− target	op-L01-N3-retrofit-native-SPARC — first-principles derivation ρ_SPARC ≡ ρ_baryon ≡ -T^μ_μ_dust/c_0² z TGP axi…
op-L01-N4-retrofit-native-Higgs-2026-05-13	parking	2026-05-13	FINAL	RETROFIT — C → A− target	op-L01-N4-retrofit-native-Higgs — first-principles Higgs trace anomaly + EW epoch z TGP framework
op-L01-N5-retrofit-native-EW-2026-05-13	parking	2026-05-13	FINAL	RETROFIT — C → A− target	op-L01-N5-retrofit-native-EW — first-principles SU(2)×U(1) gauge anomaly + EW phase transition z TGP framework
op-cluster-sterile-nu-prediction-2026-05-13	parking	2026-05-13	FINAL	PREDICTION-RECOVERY z pre-bounded recovery_scope (anti-Lakatos)	op-cluster-sterile-nu-prediction — TGP + sterile ν (2 eV) cluster mass deficit closure z pre-bounded recovery…
op-L05-mass-exponent-k-alpha-d-2026-05-16	parking	2026-05-16	FINAL	DERIVATION — L05 audit reconciliation	op-L05-mass-exponent-k-alpha-d — formal derivation k(α, d) z finite-energy condition + m_obs vs M_full distin…
op-L06-axion-mass-derivation-2026-05-16	parking	2026-05-16	FINAL	DERIVATION — L06 audit Path 2 (forward structural derivation attempt of m_X)	op-L06-axion-mass-derivation — Próba derywacji m_X strukturalnie + honest confirmation FREE-parameter status …
op-L07-Path-D-nonlocal-foundations-2026-05-16	parking	2026-05-16	FINAL	DERIVATION-EXTENSION — L07 Path D nonlokalność spacelike (full structural ZS2 derivation attempt)	op-L07-Path-D-nonlocal-foundations — Próba full structural derivation ZS2 quadratic remainder z FRW horizon t…
op-L07-zero-sum-Z2-derivation-2026-05-16	parking	2026-05-16	FINAL	DERIVATION — L07 audit Path A (Z₂-tożsamość derivation for global zero-sum)	op-L07-zero-sum-Z2-derivation — Derywacja zasady zerowej sumy ZS1/ZS2 z Z₂-symetrii substratu (L07 audit clos…
op-L08-Phase6-Clifford-emergence-2026-05-16	parking	2026-05-16	FINAL	DERIVATION — L08 problem	op-L08-Phase6-Clifford-emergence — γ^μ matrix algebra Cl(1,3) emergence z M9.1'' tetrad + spin-1/2 RP² repres…
op-L08-Phase6-FR-antisymmetry-2026-05-16	parking	2026-05-16	FINAL	DERIVATION — L08 path A (operational Dirac propagator construction) sub-step	op-L08-Phase6-FR-antisymmetry — Finkelstein-Rubinstein 2-particle exchange antisymmetry dla RP² hedgehog defe…
op-L08-Phase6-RG-flow-Z-phi-asymptotic-2026-05-16	parking	2026-05-16	FINAL	ATTEMPT_DERIVATION — L08 problem	op-L08-Phase6-RG-flow-Z-phi-asymptotic — attempt structural derivation of e_Euler² via wave function renormal…
op-L08-Phase6-e2-derivation-2026-05-16	parking	2026-05-16	FINAL	RECONCILIATION + HONEST_ASSESSMENT — L08 problem	op-L08-Phase6-e2-derivation — reconciliation two mass formulas + A_tail(g_0, α) derivation + honest assessmen…
op-L08-Phase6-hadron-topology-confinement-2026-05-16	parking	2026-05-16	FINAL	DERIVATION — L08 audit problem	op-L08-Phase6-hadron-topology-confinement — composite hadron N-M≡0 mod 3 rule z compact U(1) J_phase winding
op-L08-Phase6-quark-sector-mass-formula-2026-05-16	parking	2026-05-16	FINAL	DERIVATION — L08 audit problem	op-L08-Phase6-quark-sector-mass-formula — test why_n3 universal mass formula on quark sektor (PDG 5 niezależn…
op-core-update-sesja-2026-05-16-annotations	parking	2026-05-16	FINAL	HOUSEKEEPING — core file annotation insertion (no math content change)	op-core-update-sesja-2026-05-16-annotations — Batch application of proposed core annotations from L07 + L07-P…
op-A-derivation-from-CG-2026-06-25	parking	2026-06-25	FINAL	DERIVATION-STATUS-AUDIT — czy 𝒜=C_F²α_s² derywowane czy postulate warunkowy na CG	op-A-derivation-from-CG — czy 𝒜=a_Γ/φ=C_F²α_s² (stała konfinementu kwarków; α_s 0,03σ z
op-L08-quark-g0-tail-vs-core-audit-2026-06-25	parking	2026-06-25	FINAL	AUDIT — epistemiczny status zakresu g w sek08b:529; rozstrzygnięcie kategorii (rdzeń vs ogon) deter…	op-L08-quark-g0-tail-vs-core-audit — audyt epistemiczny: czy zakres sek08b:529 g₀∈[0,817;0,891] to RDZENIOWE …
op-parameter-counting-balance-sheet-2026-06-25	parking	2026-06-25	FINAL	META-AUDIT — program-wide uczciwy bilans inputów vs predykcji; werdykt o headline; SM comparison	op-parameter-counting-balance-sheet — program-wide uczciwy bilans inputów: czy headline '40 predykcji z 3 inp…
op-quark-mass-core-g0-rescue-test-2026-06-25	parking	2026-06-25	FINAL	RECONCILIATION-AUDIT — rozstrzygnięcie sprzeczności HALT-B(0/5) vs dodatekX(≤2,5%) + niezależna re-…	op-quark-mass-core-g0-rescue-test — REKONCYLIACJA: HALT-B (2026-05-16, '0/5 structural insufficiency, sufit 2…
op-Csigma-coarse-graining-2026-06-14	closed		FINAL		op-Csigma-coarse-graining — wyprowadzenie C_σ (i σ_0) sektora σ_ab z H_Γ przez coarse-graining, by przypiąć κ…
op-G-substrate-derivation-2026-05-24	closed		FINAL COMPLETE 2026-06-01	CLOSED-RESOLVED HONEST_NEGATIVE	op-G-substrate-derivation — independent γ derivation from TGP fundamentals
op-LAM-vacuum-substrate-2026-05-24	closed		FINAL (Phase FINAL COMPLETE 2026-05-25 …	STRUCTURAL_PARTIAL (C+) — sign + EoS + phenomenology PASS; magnitude FAIL_LOW	op-LAM-vacuum-substrate — TGP phonon-vacuum Λ_eff prediction cycle
op-PR004-SPARC-fit-execution-2026-06-12	closed		FINAL	CLOSED-RESOLVED PR004-TRIGGERED-FALSIFIED-MECHANISM (LOCKED 2026-06-13) — TGP g_eff[Φ̄ ≈ Φ₀] (Newto…	op-PR004-SPARC-fit-execution — wykonanie LOCKED falsyfikatora PR-004: χ²_red(TGP Newton-baryon) vs χ²_red(MON…
op-PSR-Pdot-energy-balance-2026-06-13	closed		FINAL	TRIGGERED-FALSIFIED (pending user ratification)	op-PSR-Pdot-energy-balance-2026-06-13
op-PSR-orbital-drift-2026-05-24	closed		FINAL (4-phase single-session sprint co…	B+ (pre-observational consistency + future-test target)	op-PSR-orbital-drift — TGP native O(U³) orbital-drift falsifier (NS surface)
op-R17-linear-runaway-diagnosis-2026-06-11	closed		FINAL	CLOSED-RESOLVED ARTIFACT_PARTIAL (LOCKED 2026-06-11) — runaway = transcription artifact (exact lemm…	op-R17-linear-runaway-diagnosis — diagnostic cycle: is the R1
op-S07-emergent-metric-integration-2026-06-01	closed		FINAL COMPLETE 2026-06-01	CLOSED-RESOLVED INTEGRATION_COMPLETE	op-S07-emergent-metric-integration — formal integration of emergent-metric recovery framework into S07 closur…
op-bath-two-sectors-2026-08-23	closed		FINAL (Phase 1–3 wykonane 2026-08-23; z…	CLOSED 2026-08-29 — Q1-INCONCLUSIVE, Q2-FAIL. Phase 1: gate PASS wg rulingu (Phase1_gate_ruling.md;…	op-bath-two-sectors — runaway w kąpieli na fazach zmierzonych (Q1) + derywacyjny test dwóch sektorów znaku W …
op-blocked-soliton-bang-2026-07-04	closed		FINAL	Toy model wykonany: Phase1 C1/C3/C4 PASS, C2 FAIL przy zalockowanych 1200 krokach; Phase2 pokazuje,…	op-blocked-soliton-bang — blokowana relaksacja N solitonow
op-disformal-hamiltonian-viability-2026-06-14	closed		FINAL		op-disformal-hamiltonian-viability — formalne rozstrzygnięcie werdyktu sektora radiacyjnego via DISFORMAL VIA…
op-disformal-radiation-resolution-2026-06-13	closed		FINAL		op-disformal-radiation-resolution — rozstrzygnięcie D6: czy disformalny Vainshtein LIVE tłumi strumień energi…
op-disformal-stability-2026-06-14	closed		FINAL		op-disformal-stability — audyt ghost/niestabilności gradientowej operatora fluktuacji disformalnego (W-DRR-1)…
op-fluctuation-extended-nbody-2026-08-31	closed		FINAL (LOCK → Phase 1–3 → close, jedna …	CLOSED-EXECUTED 2026-08-31. QE (N1 rodzica): NIE — wykładnik dalekiego pola kanału fluktuacyjnego p…	op-fluctuation-extended-nbody — obiekty rozciągłe (czy −1/d?) + N-ciałowość kanału fluktuacyjnego, poziom 0
op-frontier-bridge-and-asymmetry-2026-06-12	closed		FINAL	CLOSED-RESOLVED BRIDGE_COMPLETE + H-SORT_DERIVED_1DPROXY (USER-THRESHOLD-DECISIONS ×2; DOUBTS REGIS…	op-frontier-bridge-and-asymmetry — moduł A: domknięcie mostu A2 (GAP-1..5 → PR-022 append path) · moduł B: se…
op-frontier-creation-rate-derivation-2026-06-11	closed		FINAL	PHASE3_COMPLETE — frontier marginality DERIVED (principle: stability trichotomy; coefficient: ε = (…	op-frontier-creation-rate-derivation — derive S_creation, M_univ(t) relation and bulk equation form (R17 foll…
op-frontier-microphysics-2026-06-11	closed		FINAL	CLOSED-RESOLVED TIEBREAKER_COMPLETE (A2-PARTIAL) LOCKED 2026-06-11 — Q4 RESOLVED_STRUCTURAL (identi…	op-frontier-microphysics — resolve concept §10.6 Q4 (what IS the frontier) → derive creation velocity v_c → c…
op-galactic-substrate-tail-2026-06-13	closed		FINAL	CLOSED-RESOLVED HONEST_NEGATIVE (LOCKED 2026-06-13) — F-GST-A = H-SCREEN_NEGATIVE (fast-kill Phase …	op-galactic-substrate-tail — czy natywny dalekozasięgowy człon substratowy (log-interaction γ-1 / sektor Gold…
op-gravitational-sector-survival-2026-06-13	closed		FINAL	CLOSED-RESOLVED INDETERMINATE — sektor grawitacyjny TGP_v1 NIE sfalsyfikowany. D1–D5 BREAKS/GAP (no…	op-gravitational-sector-survival — czy istnieje minimalna niead-hoc rewizja aksjomatów usuwająca radiacyjny s…
op-lattice-bath-runaway-2026-08-23	closed		A (bramka) — FAIL na A3; Phase 1–3 NIEU…	CLOSED-GATE-STOP 2026-08-23 — bramka A: A1 PASS (g0_crit=8/5, |Δ|=3.7e−11; formuła na 4 parach (α,d…	op-lattice-bath-runaway — audyt maszynerii 2 (bramka) + test runaway solitonu w kąpieli sąsiadów
op-mechanism-v-enumeration-2026-06-01	closed		FINAL	CLOSED-RESOLVED SCOPING_COMPLETE (4/4 falsifiers PASS; handoff: op-mechanism-v-pattern25-extreme-en…	op-mechanism-v-enumeration — Phase 0 scoping cycle for Mechanism v (P6 R5 risk: LIGO scalar mode amplitude, m…
op-mechanism-v-pattern25-extreme-envs-2026-06-10	closed		FINAL	CLOSED-RESOLVED NEGATIVE (LOCKED 2026-06-11) — F-P25-A PARTIAL_SOURCE_NS_ONLY + F-P25-B FAIL_NEGATI…	op-mechanism-v-pattern25-extreme-envs — dedicated cycle: does the binary-BH near-horizon environment drive δψ…
op-nonlinear-charge-constraint-2026-07-03	closed		3	CLOSED-EXECUTED 2026-07-04 (sesja	op-nonlinear-charge-constraint — stabilność μ/τ przy zachowanym ładunku (właściwy Q-ball: Noether + Vakhitov–…
op-phi-radiative-dof-audit-2026-06-13	closed		FINAL	HONEST_NEGATIVE ⟹ PR-025 EXHAUSTIVE-OVER-LIVE (pending user ratification)	op-phi-radiative-dof-audit-2026-06-13
op-sigma-kinetic-Csigma-2026-06-14	closed		1		op-sigma-kinetic-Csigma — pinowanie κ_E sektora σ_ab: czy C_σ z H_Γ daje κ_E=5/6 (survive) czy ≠ (falsified)?…
op-spectral-analysis-Phi-2026-07-03	closed		FINAL	CLOSED-EXECUTED 2026-07-03 — sektor grawitacyjny F-A: spektralnie CZYSTY (C1/C2 PASS; C3 PASS na tł…	op-spectral-analysis-Phi — CP-7/L03: numeryczna diagonalizacja operatora fluktuacji na tłach vacuum/Yukawa/so…
op-substrate-fluctuation-channel-2026-08-23	closed		FINAL (LOCK → Phase 1–3 → close, jedna …	CLOSED-EXECUTED 2026-08-23. QF: PASS — kanał fluktuacyjny (½ln(1−g²)) jest JEDYNYM kanałem poziomu …	op-substrate-fluctuation-channel — inwentarz kanału fluktuacyjnego (QF) + krzywizna MFT w kąpieli (QB) na poz…
op-wall-dynamics-2026-07-03	closed		FINAL	CLOSED-EXECUTED 2026-07-03 — W1 NEGATYWNE (wersja liniowa): mody μ/τ przetrwały wszystkie więzy K1–…	op-wall-dynamics — interpretacja ściany duchowej + stabilność solitonów μ/τ z więzem budżetu tworzonej przest…
op-lambda1-e2-amplitude-emergence	closed	2026-05-01	Phase 3		λ.1 — e² jako fundamental constant w TGP amplitude sector?
op-delta1-g-tilde-derivation	closed	2026-05-02			δ.1 — Derivation g̃ = 5e²/(12π): PARTIAL POSITIVE z H_NF (N_f=5)
op-delta2-Nf-derivation	closed	2026-05-02			δ.2 — Derivation N_f = 5: Level B PARTIAL POSITIVE z H_decouple + H_geom
op-g0-r3-from-canonical-projection	closed	2026-05-02	Phase 3		G.0 — R3 ODE jako projekcja TGP-canonical na M9.1'' (foundational unification)
op-gamma1-phi-eff-anchor-resolution	closed	2026-05-02			γ.1 — Φ_eff anchor inconsistency resolution (RESOLVED z H5)
op-mu1-minimal-substrate-log-redefinition	closed	2026-05-02			μ.1 — Minimal substrate redefinition (ψ ≡ log g)
op-omicron2-phi-mean-shift-cosmo	closed	2026-05-03		|	op-omicron2-phi-mean-shift-cosmo — TGP Phi_0(t) tracking — NULL Hubble tension
op-L01-rho-stress-energy-bridge-2026-05-04	closed	2026-05-04			L01 ρ stress-energy bridge — formal kowariantna definicja gęstości materii
op-L04-ODE-canonicalization-2026-05-04	closed	2026-05-04			L04 ODE-canonicalization — kanoniczna formulacja TGP α=2 (analytical decision)
op-FRW-radiation-era-varying-c-2026-05-06	closed	2026-05-06	FINAL	STRUCTURAL_NO_GO	op-FRW-radiation-era-varying-c — H_TGP(z) z varying c, ℏ, G dla BBN/CMB
op-L03-spectral-stability-2026-05-06	closed	2026-05-06			L03 spectral stability — pełna analiza spektralna V''(1)<0 vs K(φ)=K_geo·φ⁴
op-M03-balance-sheet-retrofit-2026-05-06	closed	2026-05-06	Phase 5		M03 balance sheet retrofit — multi-session retrospective audit framework
op-void-flat-modes-h0-2026-05-06	closed	2026-05-06		|	op-void-flat-modes-h0 — spłaszczanie/tunelowanie stopni swobody w obszarach ρ→0 jako kanał H₀ tension
op-SPIN-SU2-substrate-derivation-2026-05-08	closed	2026-05-08	Phase6_close	STRUCTURAL_DERIVED	op-SPIN-SU2-substrate-derivation — formal derivation SU(2) jako moduli space sklejeń z Φ-EOM
op-MAG-Lorentz-A-mu-coupling-2026-05-09	closed	2026-05-09	Phase6_close	STRUCTURAL_CONDITIONAL	op-MAG-Lorentz-A-mu-coupling — EM-strength Lorentz force F = qv × B z A_μ + TGP compatibility
